symbol,n
688209,842
688210,608
688212,592
688213,815
688218,589
688219,836
688222,835
688225,137
688275,10
688278,821
688279,826
688281,823
688282,111
688283,831
688286,843
688289,836
688290,689
688291,707
688293,781
688295,815
688296,112
688297,793
688299,348
688300,829
688301,831
688305,823
688306,831
688307,637
688308,858
688309,836
688311,157
688312,824
688313,830
688318,826
688319,355
688320,348
688321,810
688323,89
688325,826
688326,839
688327,106
688328,815
688332,778
688333,838
688336,835
688337,834
688339,374
688345,807
688347,52
688349,817
688350,820
688351,764
688352,606
688353,432
688356,841
688360,825
688361,140
688362,8
688363,851
688368,828
688371,785
688372,737
688375,801
688376,719
688377,815
688378,841
688379,850
688380,768
688383,607
688385,846
688386,825
688388,833
688390,346
688392,737
688398,836
688399,850
688400,823
688401,772
688403,756
688408,598
688409,523
688410,706
688411,174
688416,773
688507,616
688508,827
688510,817
688513,823
688516,831
688518,824
688519,807
688522,637
688523,102
688525,685
688530,115
688535,594
688539,621
688543,553
688545,184
688548,542
688549,36
688550,820
688551,826
688552,594
688553,833
688556,599
688559,339
688563,571
688565,829
688566,839
688568,842
688571,828
688575,831
688578,822
688580,835
688582,537
688583,197
688584,174
688586,807
688589,829
688590,718
688591,528
688593,606
688596,819
688598,361
688599,352
688600,828
688601,845
688603,570
688605,201
688607,588
688608,843
688661,819
688662,832
688663,861
688667,830
688668,818
688669,366
688676,806
688677,828
688678,797
688679,579
688680,443
688683,831
688685,836
688686,811
688687,823
688690,825
688691,155
688692,322
688696,813
688697,832
688698,826
688699,87
688700,854
688707,364
688708,208
688709,436
688710,63
688711,351
688716,506
688717,318
688719,267
688720,459
688721,33
688726,248
688728,604
688729,85
688733,832
688757,162
688758,219
688766,818
688767,822
688772,820
688776,500
688777,826
688778,839
688779,835
688786,827
688787,843
688788,829
688789,845
688798,815
