date,n_stocks,mkt_ret,limit_up_count,touched_count,max_board_height,blow_count,blow_rate,lu_premium_1d,lu_cont_n,limit_up_count_ma5
2026-01-16,4900,-0.00015209252628719432,54,102,5,48,0.47058823529411764,-0.00928266629553829,52,83.4
2026-01-19,4904,0.010008025572276872,84,113,14,29,0.25663716814159293,0.01967791016457918,54,68.6
2026-01-20,4908,-0.004535541820129896,53,75,15,22,0.29333333333333333,0.031002831133655578,84,67.2
2026-01-21,4907,0.007741359929093577,79,112,16,33,0.29464285714285715,0.010210420038803462,52,64.4
2026-01-22,4907,0.008205662382605847,74,101,17,27,0.26732673267326734,0.014567126012184019,79,68.8
2026-01-23,4908,0.014425152323811039,92,125,18,33,0.264,0.005384917346473192,74,76.4
2026-01-26,4906,-0.01112183280413052,66,108,5,42,0.3888888888888889,0.010482853356162744,91,72.8
2026-01-27,4908,-0.001186973486040894,51,77,6,26,0.33766233766233766,0.025280981656544337,66,72.4
2026-01-28,4907,-0.005114401578555697,77,118,7,41,0.3474576271186441,0.029287973262894968,51,72.0
2026-01-29,4907,-0.0071038283514847506,82,127,8,45,0.3543307086614173,0.029335181042270935,77,73.6
2026-01-30,4906,-0.0024687059867246806,46,71,5,25,0.352112676056338,-0.015159857044133267,82,64.4
2026-02-02,4908,-0.023613842431876513,36,57,3,21,0.3684210526315789,0.02862913166037015,46,58.4
2026-02-03,4908,0.023313386341575044,67,91,4,24,0.26373626373626374,0.023357068339895405,36,61.6
2026-02-04,4910,0.004788338303345292,64,88,4,24,0.2727272727272727,0.02971674078605654,67,59.0
2026-02-05,4910,-0.008580982252185334,40,54,4,14,0.25925925925925924,0.011547414851043443,64,50.6
2026-02-06,4910,0.0019302185642544672,52,83,4,31,0.37349397590361444,-0.004151674488969761,40,51.8
2026-02-09,4910,0.017608152216695674,79,104,5,25,0.2403846153846154,0.015992278020056278,51,60.4
2026-02-10,4911,0.0002067515281366445,53,72,3,19,0.2638888888888889,0.02394188720658315,79,57.6
2026-02-11,4910,-0.0016848339717709707,49,69,4,20,0.2898550724637681,-0.0023236620509686063,53,54.6
2026-02-12,4914,0.0001639903663422083,58,77,4,19,0.24675324675324675,0.027827120175421733,49,58.2
2026-02-13,4912,-0.006928788786167115,32,43,5,11,0.2558139534883721,-0.00903164814883272,58,54.2
2026-02-24,4913,0.012974319501500697,86,136,4,50,0.36764705882352944,0.012918090661174216,32,55.6
2026-02-25,4911,0.01015878871182684,69,104,5,35,0.33653846153846156,0.022462712452957362,86,58.8
2026-02-26,4911,0.0034333827146408183,57,83,6,26,0.3132530120481928,0.00942991069738507,69,60.4
2026-02-27,4913,0.007416054091048299,74,89,7,15,0.16853932584269662,0.019201123062639342,57,63.6
2026-03-02,4913,-0.016102975836265278,87,119,3,32,0.2689075630252101,0.043509631683420674,74,74.6
2026-03-03,4913,-0.033320600074102286,72,104,3,32,0.3076923076923077,0.0632834648688678,87,71.8
2026-03-04,4913,-0.0054544401691726105,37,59,4,22,0.3728813559322034,-0.028841104240546735,72,65.4
2026-03-05,4914,0.011922820051377774,61,95,2,34,0.35789473684210527,0.010185555107168513,37,66.2
